Customer Code,Agenda Appointments,Appointments Completed,Customer Code,Customer Type Group,Shop Code - Descr,Service Category Descr,Service Descr
,01,,,LEAD,001-MARTOS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,03,01,,LEAD,003-BARCELONA - BALMES,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,005-MADRID - FUENCARRAL,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,02,,,LEAD,006-SABADELL - RAMBLA 1,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,01,,LEAD,009-TARRAGONA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,010-PALMA - SINDICATO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,011-MANACOR,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,012-CASTELLO DE LA PLANA - MAYOR,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,01,,LEAD,020-SEVILLA - LUIS MONTOTO,1st APPS,EXAMEN TELEMARKETING LE
,01,01,,LEAD,020-SEVILLA - LUIS MONTOTO,Pre-Sales,1° CONTROL PRUEBA
,01,,,LEAD,021-CACERES,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,02,,,LEAD,022-MADRID - ALCALÁ 1,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,023-LAS PALMAS GRAN CANARIA - SAN BERNARDO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,02,,,LEAD,023-LAS PALMAS GRAN CANARIA - SAN BERNARDO,Pre-Sales,IMPRESIONES CONDUCTO AUDITIVO
,01,,,LEAD,024-BARCELONA - DE GUIPÚSCOA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,03,,,LEAD,027-ALMERIA - ALMERÍA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,02,,,LEAD,028-BILBAO - MADARIAGA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,030-DONOSTIA-SAN SEBASTIAN - LEGAZPI,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,02,02,,LEAD,034-CORNELLA LLOBREGAT - RAMBLA ANSELM CLAVÉ,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,036-VITORIA-GASTEIZ - SAN PRUDENCIO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,037-MADRID - BRAVO MURILLO 1,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,038-PAMPLONA/IRUÑA - FELIPE GORRITI,Pre-Sales,IMPRESIONES CONDUCTO AUDITIVO
,01,,,LEAD,042-ALICANTE/ALACANT - ANGEL LOZANO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,043-VALLADOLID - ZORRILLA 1,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,046-MADRID - LOPEZ DE HOYOS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,063-LEON - ORDOÑO II,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,01,,LEAD,070-SEVILLA - VIRGEN DE LUJAN,Pre-Sales,2° CONTROL PRUEBA
,01,,,LEAD,071-MADRID - ALBUFERA 1,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,072-LA LAGUNA - HERRADORES,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,03,,,LEAD,074-COLLADO VILLALBA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,075-BILBAO - DR. AREILZA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,075-BILBAO - DR. AREILZA,Pre-Sales,IMPRESIONES CONDUCTO AUDITIVO
,01,,,LEAD,081-ALCORCON - MAYOR,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,01,,LEAD,083-LAS ARENAS,Pre-Sales,IMPRESIONES CONDUCTO AUDITIVO
,01,,,LEAD,086-SEGOVIA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,090-MAJADAHONDA,Pre-Sales,IMPRESIONES CONDUCTO AUDITIVO
,01,,,LEAD,102-MADRID - NARVAEZ,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,113-VILLARREAL,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,02,,,LEAD,116-UTRERA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,117-FUENLABRADA - LEGANÉS 1,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,121-BARCELONA - GRAN DE SANT ANDREU 2,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,01,,LEAD,122-BARCELONA - SANTS 1,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,137-ZARAGOZA - TERUEL,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,01,,LEAD,145-ORENSE - ALFÉREZ PROVISIONAL,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,01,,LEAD,145-ORENSE - ALFÉREZ PROVISIONAL,Pre-Sales,1° CONTROL PRUEBA
,01,,,LEAD,147-CADIZ - BRASIL,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,02,,,LEAD,152-MAIRENA DEL ALCOR,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,156-GANDIA - GERMANIAS 2,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,02,,,LEAD,161-ZAMORA - TRES CRUCES,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,02,,,LEAD,162-MANRESA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,01,,LEAD,174-LORCA - JUAN CARLOS I,1st APPS,EXAMEN TELEMARKETING LE
,01,01,,LEAD,176-XATIVA,1st APPS,EXAMEN TELEMARKETING LE
,01,01,,LEAD,179-LA LINEA DE LA CONCEPCION,Pre-Sales,2° CONTROL PRUEBA
,01,,,LEAD,179-LA LINEA DE LA CONCEPCION,Pre-Sales,CIERRE DE LA PRUEBA
,01,,,LEAD,182-ALCALA DE GUADAIRA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,183-TUDELA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,196-ZARAGOZA - ILDEFONSO MANUEL GIL,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,198-ZARAGOZA - MADRID 2,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,03,,,LEAD,202-LA OROTAVA - OBISPO BENITEZ DE LUGO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
